129.211.1.107,SH-TEC-O2C,80,33456,2019-05-02 13:46:00
129.211.1.107,SH-TEC-O2C,443,33457,2019-05-02 13:47:05
129.211.1.107,SH-TEC-O2C,1080,33458,2019-05-02 13:48:10
129.211.1.107,SH-TEC-O2C,5201,33459,2019-05-02 13:49:15
gggkso.zicp.vip,SJZ-CU-HM,80,33484,2019-05-03 13:50:20
gggkso.zicp.vip,SJZ-CU-HM,443,33485,2019-05-03 13:51:25
gggkso.zicp.vip,SJZ-CU-HM,1080,33486,2019-05-03 13:52:30
gggkso.zicp.vip,SJZ-CU-HM,5202,33487,2019-05-03 13:53:35
nanjing-cu-hm-kayodi.duckdns.org,Nanjing-CU-HM,80,33480,2019-05-03 13:46:00
nanjing-cu-hm-kayodi.duckdns.org,Nanjing-CU-HM,443,33481,2019-05-03 13:47:05
nanjing-cu-hm-kayodi.duckdns.org,Nanjing-CU-HM,1080,33482,2019-05-03 13:48:10
nanjing-cu-hm-kayodi.duckdns.org,Nanjing-CU-HM,5203,33483,2019-05-03 13:49:15
tianjin-cu-hm-kayodi.duckdns.org,Tianjin-CU-HM,80,33476,2019-05-03 13:50:20
tianjin-cu-hm-kayodi.duckdns.org,Tianjin-CU-HM,443,33477,2019-05-03 13:51:25
tianjin-cu-hm-kayodi.duckdns.org,Tianjin-CU-HM,1080,33478,2019-05-03 13:52:30
tianjin-cu-hm-kayodi.duckdns.org,Tianjin-CU-HM,5204,33479,2019-05-03 13:53:35
xiamen-ct-hm-kayodi.duckdns.org,Xiamen-CT-HM,80,33472,2019-05-03 13:46:00
xiamen-ct-hm-kayodi.duckdns.org,Xiamen-CT-HM,443,33473,2019-05-03 13:47:05
xiamen-ct-hm-kayodi.duckdns.org,Xiamen-CT-HM,1080,33474,2019-05-03 13:48:10
xiamen-ct-hm-kayodi.duckdns.org,Xiamen-CT-HM,5205,33475,2019-05-03 13:49:15
bj-cu-hm1-kayodi.duckdns.org,BJ-CU-HM1,80,33468,2019-05-02 13:50:20
bj-cu-hm1-kayodi.duckdns.org,BJ-CU-HM1,443,33469,2019-05-02 13:51:25
bj-cu-hm1-kayodi.duckdns.org,BJ-CU-HM1,1080,33470,2019-05-02 13:52:30
bj-cu-hm1-kayodi.duckdns.org,BJ-CU-HM1,5206,33471,2019-05-02 13:53:35
123.59.170.215,iii-virtual-machine,80,33464,2019-05-02 13:46:00
123.59.170.215,iii-virtual-machine,443,33465,2019-05-02 13:47:05
123.59.170.215,iii-virtual-machine,1080,33466,2019-05-02 13:48:10
123.59.170.215,iii-virtual-machine,5207,33467,2019-05-02 13:49:15
202.112.51.44,BJ-THU-EU,80,33460,2019-05-02 13:50:20
202.112.51.44,BJ-THU-EU,443,33461,2019-05-02 13:51:25
202.112.51.44,BJ-THU-EU,1080,33462,2019-05-02 13:52:30
202.112.51.44,BJ-THU-EU,5208,33463,2019-05-02 13:53:35
