3.112.205.65,JPN-AWS-O2C,5007,80,2019-10-18 03:52:35
18.231.115.246,BRA-AWS-O2C,5006,80,2019-10-18 03:51:30
13.48.68.63,SWE-AWS-O2C,5005,80,2019-10-18 03:50:25
54.180.89.21,KOR-AWS-O2C,5004,80,2019-10-18 03:49:20
52.64.158.4,AUS-AWS-O2C,5003,80,2019-10-18 03:48:15
165.22.104.197,SGP-DGO-O2C,5002,80,2019-10-18 03:47:10
142.93.214.125,IND-DGO-O2C,5001,80,2019-10-18 03:46:05
157.230.123.5,DEU-DGO-O2C,5000,80,2019-10-18 03:45:00
157.230.234.235,NY-DGO-O2C,5007,80,2019-10-18 03:52:35
162.62.19.113,RUS-KSV-O2C,5006,80,2019-10-18 03:51:30
129.226.77.145,HK-TEC-O2C,5005,80,2019-10-18 03:50:25
